customer_id,email,company_name,industry,company_size,signup_date,first_name,last_name,phone,country,created_at,updated_at
CUST_000000,user0@example.com,Company_0,Education,large,2022-01-01,First0,Last0,555-010000,UK,2025-06-19 17:50:02.533722,2025-06-19 17:50:02.533743
CUST_000001,user1@example.com,Company_1,Retail,medium,2022-01-02,First1,Last1,555-010001,India,2025-06-19 17:50:02.533722,2025-06-19 17:50:02.533743
CUST_000002,user2@example.com,Company_2,Finance,small,2022-01-03,First2,Last2,555-010002,Canada,2025-06-19 17:50:02.533722,2025-06-19 17:50:02.533743
CUST_000003,user3@example.com,Company_3,Retail,startup,2022-01-04,First3,Last3,555-010003,India,2025-06-19 17:50:02.533722,2025-06-19 17:50:02.533743
CUST_000004,user4@example.com,Company_4,Retail,enterprise,2022-01-05,First4,Last4,555-010004,Canada,2025-06-19 17:50:02.533722,2025-06-19 17:50:02.533743
CUST_000005,user5@example.com,Company_5,Healthcare,enterprise,2022-01-06,First5,Last5,555-010005,UK,2025-06-19 17:50:02.533722,2025-06-19 17:50:02.533743
CUST_000006,user6@example.com,Company_6,Finance,startup,2022-01-07,First6,Last6,555-010006,UK,2025-06-19 17:50:02.533722,2025-06-19 17:50:02.533743
CUST_000007,user7@example.com,Company_7,Finance,startup,2022-01-08,First7,Last7,555-010007,Germany,2025-06-19 17:50:02.533722,2025-06-19 17:50:02.533743
CUST_000008,user8@example.com,Company_8,Finance,small,2022-01-09,First8,Last8,555-010008,Canada,2025-06-19 17:50:02.533722,2025-06-19 17:50:02.533743
CUST_000009,user9@example.com,Company_9,Retail,medium,2022-01-10,First9,Last9,555-010009,Germany,2025-06-19 17:50:02.533722,2025-06-19 17:50:02.533743
CUST_000010,user10@example.com,Company_10,Education,enterprise,2022-01-11,First10,Last10,555-010010,Canada,2025-06-19 17:50:02.533722,2025-06-19 17:50:02.533743
CUST_000011,user11@example.com,Company_11,Finance,small,2022-01-12,First11,Last11,555-010011,Germany,2025-06-19 17:50:02.533722,2025-06-19 17:50:02.533743
CUST_000012,user12@example.com,Company_12,Retail,medium,2022-01-13,First12,Last12,555-010012,UK,2025-06-19 17:50:02.533722,2025-06-19 17:50:02.533743
CUST_000013,user13@example.com,Company_13,Healthcare,small,2022-01-14,First13,Last13,555-010013,India,2025-06-19 17:50:02.533722,2025-06-19 17:50:02.533743
CUST_000014,user14@example.com,Company_14,Education,enterprise,2022-01-15,First14,Last14,555-010014,Germany,2025-06-19 17:50:02.533722,2025-06-19 17:50:02.533743
CUST_000015,user15@example.com,Company_15,Healthcare,startup,2022-01-16,First15,Last15,555-010015,Canada,2025-06-19 17:50:02.533722,2025-06-19 17:50:02.533743
CUST_000016,user16@example.com,Company_16,Education,startup,2022-01-17,First16,Last16,555-010016,Canada,2025-06-19 17:50:02.533722,2025-06-19 17:50:02.533743
CUST_000017,user17@example.com,Company_17,Retail,medium,2022-01-18,First17,Last17,555-010017,UK,2025-06-19 17:50:02.533722,2025-06-19 17:50:02.533743
CUST_000018,user18@example.com,Company_18,Technology,large,2022-01-19,First18,Last18,555-010018,Canada,2025-06-19 17:50:02.533722,2025-06-19 17:50:02.533743
CUST_000019,user19@example.com,Company_19,Education,medium,2022-01-20,First19,Last19,555-010019,USA,2025-06-19 17:50:02.533722,2025-06-19 17:50:02.533743
CUST_000020,user20@example.com,Company_20,Healthcare,large,2022-01-21,First20,Last20,555-010020,India,2025-06-19 17:50:02.533722,2025-06-19 17:50:02.533743
CUST_000021,user21@example.com,Company_21,Retail,small,2022-01-22,First21,Last21,555-010021,Germany,2025-06-19 17:50:02.533722,2025-06-19 17:50:02.533743
CUST_000022,user22@example.com,Company_22,Education,small,2022-01-23,First22,Last22,555-010022,India,2025-06-19 17:50:02.533722,2025-06-19 17:50:02.533743
CUST_000023,user23@example.com,Company_23,Technology,enterprise,2022-01-24,First23,Last23,555-010023,UK,2025-06-19 17:50:02.533722,2025-06-19 17:50:02.533743
CUST_000024,user24@example.com,Company_24,Technology,large,2022-01-25,First24,Last24,555-010024,Germany,2025-06-19 17:50:02.533722,2025-06-19 17:50:02.533743
CUST_000025,user25@example.com,Company_25,Finance,enterprise,2022-01-26,First25,Last25,555-010025,Germany,2025-06-19 17:50:02.533722,2025-06-19 17:50:02.533743
CUST_000026,user26@example.com,Company_26,Finance,startup,2022-01-27,First26,Last26,555-010026,USA,2025-06-19 17:50:02.533722,2025-06-19 17:50:02.533743
CUST_000027,user27@example.com,Company_27,Healthcare,large,2022-01-28,First27,Last27,555-010027,UK,2025-06-19 17:50:02.533722,2025-06-19 17:50:02.533743
CUST_000028,user28@example.com,Company_28,Education,medium,2022-01-29,First28,Last28,555-010028,Canada,2025-06-19 17:50:02.533722,2025-06-19 17:50:02.533743
CUST_000029,user29@example.com,Company_29,Education,startup,2022-01-30,First29,Last29,555-010029,USA,2025-06-19 17:50:02.533722,2025-06-19 17:50:02.533743
CUST_000030,user30@example.com,Company_30,Finance,startup,2022-01-31,First30,Last30,555-010030,USA,2025-06-19 17:50:02.533722,2025-06-19 17:50:02.533743
CUST_000031,user31@example.com,Company_31,Education,medium,2022-02-01,First31,Last31,555-010031,India,2025-06-19 17:50:02.533722,2025-06-19 17:50:02.533743
CUST_000032,user32@example.com,Company_32,Education,startup,2022-02-02,First32,Last32,555-010032,India,2025-06-19 17:50:02.533722,2025-06-19 17:50:02.533743
CUST_000033,user33@example.com,Company_33,Technology,large,2022-02-03,First33,Last33,555-010033,India,2025-06-19 17:50:02.533722,2025-06-19 17:50:02.533743
CUST_000034,user34@example.com,Company_34,Finance,enterprise,2022-02-04,First34,Last34,555-010034,USA,2025-06-19 17:50:02.533722,2025-06-19 17:50:02.533743
CUST_000035,user35@example.com,Company_35,Retail,startup,2022-02-05,First35,Last35,555-010035,Canada,2025-06-19 17:50:02.533722,2025-06-19 17:50:02.533743
CUST_000036,user36@example.com,Company_36,Finance,large,2022-02-06,First36,Last36,555-010036,Germany,2025-06-19 17:50:02.533722,2025-06-19 17:50:02.533743
CUST_000037,user37@example.com,Company_37,Retail,small,2022-02-07,First37,Last37,555-010037,India,2025-06-19 17:50:02.533722,2025-06-19 17:50:02.533743
CUST_000038,user38@example.com,Company_38,Technology,large,2022-02-08,First38,Last38,555-010038,Canada,2025-06-19 17:50:02.533722,2025-06-19 17:50:02.533743
CUST_000039,user39@example.com,Company_39,Healthcare,enterprise,2022-02-09,First39,Last39,555-010039,UK,2025-06-19 17:50:02.533722,2025-06-19 17:50:02.533743
CUST_000040,user40@example.com,Company_40,Education,large,2022-02-10,First40,Last40,555-010040,India,2025-06-19 17:50:02.533722,2025-06-19 17:50:02.533743
CUST_000041,user41@example.com,Company_41,Technology,medium,2022-02-11,First41,Last41,555-010041,Germany,2025-06-19 17:50:02.533722,2025-06-19 17:50:02.533743
CUST_000042,user42@example.com,Company_42,Education,enterprise,2022-02-12,First42,Last42,555-010042,UK,2025-06-19 17:50:02.533722,2025-06-19 17:50:02.533743
CUST_000043,user43@example.com,Company_43,Healthcare,small,2022-02-13,First43,Last43,555-010043,UK,2025-06-19 17:50:02.533722,2025-06-19 17:50:02.533743
CUST_000044,user44@example.com,Company_44,Healthcare,medium,2022-02-14,First44,Last44,555-010044,Germany,2025-06-19 17:50:02.533722,2025-06-19 17:50:02.533743
CUST_000045,user45@example.com,Company_45,Technology,large,2022-02-15,First45,Last45,555-010045,India,2025-06-19 17:50:02.533722,2025-06-19 17:50:02.533743
CUST_000046,user46@example.com,Company_46,Healthcare,enterprise,2022-02-16,First46,Last46,555-010046,USA,2025-06-19 17:50:02.533722,2025-06-19 17:50:02.533743
CUST_000047,user47@example.com,Company_47,Retail,small,2022-02-17,First47,Last47,555-010047,Germany,2025-06-19 17:50:02.533722,2025-06-19 17:50:02.533743
